reviewer_name,title,review,id
GrandTour39221463627,Hospitable experience,The ambience amidst nature was lovely and serene. Staff  was very friendly and hospitable. Special mention to Prakash Joshi (kalyani restaurant) who has been serving with a smile. Chandan from housekeeping who made the room clean for making us feel better as there was milk spillage by us but he did not hesitate to clean it 4 times for us to feel better with no smell. And finally Krishna who cleaned the car for our return travel.,1
Ashish,Awesome stay at Visnita county,We stayed there for 3 days ..it's awesome experience... property is so calm and beautiful contains all which you expect in a luxury holiday trip...they have two restaurants kalyani and kurinji which served delicious food...rooms were awesome and views from property has no match ..overall 10/10,1
Shailesh,Vismita County need to have a relook at the pricing.,The property is extremely pricey with respect to the rooms and amenities. Especially during off season time it should have been at half of what we paid. Breakfast and food in the restaurant is good. Owner should add more amenities to make it deserve the money being charged. The staff is quite courteous.,1
Pratham Gowda,Awesome staff,"beautiful Vibes, the service staff extremely courteous, hospitality and environment was outstanding, i would like to specially thanks to Mr. Manohar Manager and his team. Will definitely refer to this place.",1
udayshankar b,Superb Resort,"Resort is Beutiful  with Lot's of Greenaries around, Room size was Large with All the Required amenities, The Staffwas extremely courteous. Hospitality and environment was Superb, Food is delicious and excellent, I would recommend this nature lovers and family.",1
GIRISH,Nature’s bounty,"A pleasant stay in midst of natures gifted location. The place is best amalgamated property of coffee estate,natural elements with architectural excellence. A pleasant mansoon drizzling was made more special at  Kalyani bar, DR GIRISH 👍",1
Nagashri K,Amazing experience,"Amazing experience. The chef, Raghu, made each dish to our specifications. We had booked the family suite, which had wonderful views of the coffee estate and the swimming pool. The whole experience was just great! No complaints here. Will go back soon.",1
Discover15386849115,serenity,"We stayed in Vismita County from June 12 to June 15 th of 2023 in a suite for couple.  Surroundings :  Best ever. View from room balcony was beautiful. Surrounded by plantation and green mountains ahead. Birds wake you up. Coffee in the balcony is a dream like event. No noise, no pollution, serenity all round. Swimming pools looked very clean . A walk amidst Silver oaks, pepper, coffee, palms, areca, ... and listening to birds is not to be missed.  Room was spacious with a lot of attention to details. Sufficient storage space. Bath room with jacuzzi was simply wonderful. Most importantly it was very very clean,    Food. Breakfast was very good. Unfortunately we did not succeed to get really low spice lunch or dinner except for one or two dishes. The Kalyani bar is picturesque",1
Excursion28528169337,Superb resort for families,Awesome ambience. Tasty food. Fantastic views. The resort is located amidst lush green area. Well maintained facilities and well behaved staff. Memorable stay. We enjoyed the stay thoroughly. We will stay on Vismita County again for sure.,1
Voyager15753084761,It’s peaceful nature,All the facilities where very friendly even co worker and staff management and kitchen  Food is maintained hygiene and quality games pool and everything was superb environment was maintained clean even the rooms,1
Paradise59182418114,Very nice experience at Vismita county,"Very nice stay. Room was vey comfortable. Special thanks to Chandan.Family room could accommodate 5 persons. Enjoyed all facilities like pool, indoor games, walking around the property, fine food and games.",1
